 ************************  INITIAL MISFIT ************************ 
 STATION: ANTO_R_S_f Misfit:    9.73472297E-02
 STATION: BORG_T_S_f Misfit:    4.06247191E-02
 STATION: CCM_R_S_ff Misfit:    1.51953734E-02
 STATION: CCM_T_S_ff Misfit:    1.86797269E-02
 STATION: CCM_Z_S_ff Misfit:    1.98571458E-02
 STATION: CLF_T_S_ff Misfit:    7.25594386E-02
 STATION: COR_R_S_ff Misfit:    2.74927337E-02
 STATION: CTAO_R_S_f Misfit:   0.241872594    
 STATION: CTAO_T_S_f Misfit:   0.147103414    
 STATION: CTAO_Z_S_f Misfit:    3.72488461E-02
 STATION: ECH_R_S_ff Misfit:   0.136875570    
 STATION: ECH_T_S_ff Misfit:    4.36621793E-02
 STATION: ECH_Z_S_ff Misfit:    7.79450387E-02
 STATION: FUTU_R_S_f Misfit:   0.108524635    
 STATION: HKT_R_S_ff Misfit:    4.13123146E-02
 STATION: HRV_R_S_ff Misfit:    3.04470211E-02
 STATION: HRV_T_S_ff Misfit:    8.51225294E-03
 STATION: HRV_Z_S_ff Misfit:    2.85393037E-02
 STATION: INU_Z_S_ff Misfit:   0.429726481    
 STATION: KBS_T_S_ff Misfit:    1.35343801E-02
 STATION: KDAK_Z_S_f Misfit:    9.22054425E-02
 STATION: KEV_T_S_ff Misfit:    9.64957662E-03
 STATION: KIEV_T_S_f Misfit:    3.24641578E-02
 STATION: KIP_T_S_ff Misfit:    1.24505078E-02
 STATION: KIP_Z_S_ff Misfit:   0.339321554    
 STATION: KIV_T_S_ff Misfit:    7.60410503E-02
 STATION: KONO_T_S_f Misfit:    4.13051248E-02
 STATION: LVZ_T_S_ff Misfit:    7.61507312E-03
 STATION: MAKZ_R_S_f Misfit:   0.387465239    
 STATION: MBWA_R_S_f Misfit:   0.163094386    
 STATION: MBWA_T_S_f Misfit:    9.42641944E-02
 STATION: MIDW_Z_S_f Misfit:   0.125104159    
 STATION: NIL_R_S_ff Misfit:   0.127592131    
 STATION: OBN_T_S_ff Misfit:    4.13152725E-02
 STATION: POHA_R_S_f Misfit:   0.303218812    
 STATION: POHA_T_S_f Misfit:    2.15556007E-02
 STATION: RSSD_R_S_f Misfit:    3.57348807E-02
 STATION: RSSD_T_S_f Misfit:    2.55835447E-02
 STATION: SFJD_R_S_f Misfit:    9.67342257E-02
 STATION: SFJD_T_S_f Misfit:   0.101633854    
 STATION: SLBS_R_S_f Misfit:    8.99654999E-02
 STATION: SLBS_Z_S_f Misfit:    9.49181318E-02
 STATION: SSB_T_S_ff Misfit:    9.07556061E-03
 STATION: SSPA_R_S_f Misfit:    1.91877168E-02
 STATION: SSPA_T_S_f Misfit:    1.25498855E-02
 STATION: SSPA_Z_S_f Misfit:    1.81662478E-02
 STATION: TATO_Z_S_f Misfit:   0.297974497    
 STATION: TUC_R_S_ff Misfit:    2.43211482E-02
 STATION: ULN_R_S_ff Misfit:    7.36019686E-02
 STATION: ULN_T_S_ff Misfit:    2.45590713E-02
 STATION: ULN_Z_S_ff Misfit:    8.72114450E-02
 STATION: WCI_R_S_ff Misfit:    2.50622071E-02
 STATION: WUS_T_S_ff Misfit:    7.56536052E-02
 STATION: WVT_R_S_ff Misfit:    1.45107387E-02
 STATION: WVT_Z_S_ff Misfit:    2.10713372E-02
 ***
 total misfit:    9.06182900E-02
 ***
